Feeling lightheaded and wobbly
HANDS (34) -> https://www.health.com/vertigo/dizziness-causes
SCARY (34) -> https://patient.info/forums/discuss/should-i-be-worried--271578
FEVER (33) -> https://www.health.com/vertigo/dizziness-causes
TRULY (33) -> http://www.gilbertssyndrome.com/symptoms.php
EMAIL (32) -> https://www.health.com/vertigo/dizziness-causes
CRAZY (32) -> https://psychcentral.com/quizzes/anxiety-quiz/
GROUP (31) -> https://www.thesaurus.com/browse/reeling
TOUCH (31) -> http://www.gilbertssyndrome.com/symptoms.php
STAND (30) -> https://www.thesaurus.com/browse/reeling
FOCUS (30) -> https://www.health.com/vertigo/dizziness-causes
SPENT (30) -> https://www.health.com/vertigo/dizziness-causes
BREAK (30) -> https://www.health.com/condition/vertigo
DRUNK (30) -> http://www.gilbertssyndrome.com/symptoms.php
LARGE (29) -> https://www.health.com/vertigo/dizziness-causes
READY (29) -> http://www.gilbertssyndrome.com/symptoms.php
FAINT (28) -> https://www.thesaurus.com/browse/reeling
YOUNG (28) -> https://psychcentral.com/quizzes/anxiety-quiz/
AGREE (28) -> http://www.gilbertssyndrome.com/symptoms.php
MEANS (28) -> http://www.gilbertssyndrome.com/symptoms.php
WORKS (28) -> http://www.gilbertssyndrome.com/symptoms.php
SENSE (27) -> https://www.thesaurus.com/browse/reeling
WORLD (27) -> https://www.thesaurus.com/browse/reeling
TASTE (27) -> http://www.gilbertssyndrome.com/symptoms.php
PILLS (27) -> http://www.gilbertssyndrome.com/symptoms.php
BLACK (27) -> http://www.gilbertssyndrome.com/symptoms.php
SPEAK (27) -> http://www.gilbertssyndrome.com/symptoms.php
AWARE (26) -> https://www.thesaurus.com/browse/reeling
STUDY (26) -> https://psychcentral.com/quizzes/anxiety-quiz/
ASKED (26) -> http://www.gilbertssyndrome.com/symptoms.php
SOUND (26) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
ENDED (25) -> http://www.gilbertssyndrome.com/symptoms.php
BEGAN (24) -> https://www.thesaurus.com/browse/reeling
POSTS (24) -> http://www.gilbertssyndrome.com/symptoms.php
FATTY (24) -> http://www.gilbertssyndrome.com/symptoms.php
JOINT (24) -> http://www.gilbertssyndrome.com/symptoms.php
STUFF (24) -> http://www.gilbertssyndrome.com/symptoms.php
USING (24) -> http://www.gilbertssyndrome.com/symptoms.php
WHATS (23) -> https://www.thesaurus.com/browse/reeling
SINUS (23) -> https://www.health.com/vertigo/dizziness-causes
CYCLE (23) -> http://www.gilbertssyndrome.com/symptoms.php
FOGGY (23) -> http://www.gilbertssyndrome.com/symptoms.php
FULLY (23) -> http://www.gilbertssyndrome.com/symptoms.php
WRITE (23) -> http://www.gilbertssyndrome.com/symptoms.php
PLANE (23) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
TRAIN (22) -> https://www.thesaurus.com/browse/reeling
TOXIC (22) -> http://www.gilbertssyndrome.com/symptoms.php
ITCHY (22) -> http://www.gilbertssyndrome.com/symptoms.php
FUNNY (22) -> http://www.gilbertssyndrome.com/symptoms.php
VISIT (22) -> http://www.gilbertssyndrome.com/symptoms.php
CLASS (22) -> http://www.gilbertssyndrome.com/symptoms.php
UPPER (21) -> https://www.health.com/vertigo/dizziness-causes
LYING (21) -> https://www.health.com/vertigo/dizziness-causes
BOUTS (21) -> https://www.health.com/vertigo/dizziness-causes
FLOOR (21) -> https://www.health.com/condition/vertigo
VEINS (21) -> http://www.gilbertssyndrome.com/symptoms.php
BRING (21) -> http://www.gilbertssyndrome.com/symptoms.php
UPSET (20) -> https://www.thesaurus.com/browse/reeling
AVOID (20) -> https://www.thesaurus.com/browse/reeling
NEEDS (20) -> https://www.health.com/vertigo/dizziness-causes
LOOSE (20) -> http://www.gilbertssyndrome.com/symptoms.php
STATE (20) -> http://www.gilbertssyndrome.com/symptoms.php
USUAL (20) -> http://www.gilbertssyndrome.com/symptoms.php
BEGIN (20) -> http://www.gilbertssyndrome.com/symptoms.php
FRONT (20) -> http://www.gilbertssyndrome.com/symptoms.php
NURSE (20) -> http://www.gilbertssyndrome.com/symptoms.php
ROUGH (20) -> http://www.gilbertssyndrome.com/symptoms.php
MAJOR (20) -> http://www.gilbertssyndrome.com/symptoms.php
LIVES (20) -> http://www.gilbertssyndrome.com/symptoms.php
ENJOY (20) -> https://patient.info/forums/discuss/severe-persistent-shortness-of-breath-metallic-taste-after-breathing-exercises-523642
FRANK (20) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
SHAPE (19) -> https://www.health.com/vertigo/dizziness-causes
VIRUS (19) -> https://www.health.com/condition/vertigo
PULSE (19) -> http://www.gilbertssyndrome.com/symptoms.php
SIGNS (18) -> https://www.health.com/vertigo/dizziness-causes
CASES (18) -> https://www.health.com/vertigo/dizziness-causes
RANGE (18) -> https://www.health.com/vertigo/dizziness-causes
TREAT (18) -> https://www.health.com/vertigo/dizziness-causes
MOVED (18) -> http://www.gilbertssyndrome.com/symptoms.php
COUNT (18) -> http://www.gilbertssyndrome.com/symptoms.php
FIGHT (18) -> http://www.gilbertssyndrome.com/symptoms.php
WATCH (18) -> https://www.drugs.com/comments/citalopram/
KNOWS (18) -> https://patient.info/forums/discuss/should-i-be-worried--271578
SINAI (18) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
IMAGE (17) -> https://www.health.com/vertigo/dizziness-causes
CARBS (17) -> http://www.gilbertssyndrome.com/symptoms.php
MILES (17) -> http://www.gilbertssyndrome.com/symptoms.php
LOOKS (17) -> http://www.gilbertssyndrome.com/symptoms.php
SCANS (17) -> http://www.gilbertssyndrome.com/symptoms.php
TRUST (17) -> https://patient.info/forums/discuss/should-i-be-worried--271578
SPEND (17) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
BASED (16) -> https://www.thesaurus.com/browse/reeling
SHAKY (16) -> https://www.thesaurus.com/browse/reeling
THIRD (16) -> https://www.thesaurus.com/browse/reeling
BIRTH (16) -> https://www.health.com/vertigo/dizziness-causes
STEPS (16) -> https://www.health.com/vertigo/dizziness-causes
ANDOR (16) -> https://psychcentral.com/quizzes/anxiety-quiz/
BOWEL (16) -> http://www.gilbertssyndrome.com/symptoms.php
SHOCK (16) -> http://www.gilbertssyndrome.com/symptoms.php
GIVES (16) -> http://www.gilbertssyndrome.com/symptoms.php
VIRAL (16) -> http://www.gilbertssyndrome.com/symptoms.php
FORUM (16) -> http://www.gilbertssyndrome.com/symptoms.php
ALIVE (16) -> http://www.gilbertssyndrome.com/symptoms.php
WANTS (16) -> http://www.gilbertssyndrome.com/symptoms.php
DVTPE (16) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
SLEPT (15) -> https://www.thesaurus.com/browse/reeling
LASTS (15) -> https://www.health.com/vertigo/dizziness-causes
MEALS (15) -> https://www.health.com/vertigo/dizziness-causes
BOARD (15) -> https://psychcentral.com/quizzes/anxiety-quiz/
PRIOR (15) -> http://www.gilbertssyndrome.com/symptoms.php
DRANK (15) -> http://www.gilbertssyndrome.com/symptoms.php
STUCK (15) -> http://www.gilbertssyndrome.com/symptoms.php
PEACE (15) -> http://www.gilbertssyndrome.com/symptoms.php
SPEED (15) -> https://patient.info/forums/discuss/should-i-be-worried--271578
SPINE (15) -> https://patient.info/forums/discuss/should-i-be-worried--271578
HERES (14) -> https://www.health.com/vertigo/dizziness-causes
QUICK (14) -> https://www.health.com/vertigo/dizziness-causes
DYING (14) -> https://psychcentral.com/quizzes/anxiety-quiz/
DEATH (14) -> http://www.gilbertssyndrome.com/symptoms.php
SHARP (14) -> http://www.gilbertssyndrome.com/symptoms.php
STONE (14) -> http://www.gilbertssyndrome.com/symptoms.php
LUNCH (14) -> http://www.gilbertssyndrome.com/symptoms.php
BLESS (14) -> http://www.gilbertssyndrome.com/symptoms.php
DOUBT (14) -> http://www.gilbertssyndrome.com/symptoms.php
BLOCK (14) -> http://www.gilbertssyndrome.com/symptoms.php
WORTH (14) -> http://www.gilbertssyndrome.com/symptoms.php
ORDER (14) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
FLUID (13) -> https://www.health.com/vertigo/dizziness-causes
GREEN (13) -> https://www.health.com/vertigo/dizziness-causes
CARRY (13) -> https://www.health.com/condition/vertigo
APART (13) -> http://www.gilbertssyndrome.com/symptoms.php
KEEPS (13) -> http://www.gilbertssyndrome.com/symptoms.php
PHONE (13) -> http://www.gilbertssyndrome.com/symptoms.php
TEARS (13) -> http://www.gilbertssyndrome.com/symptoms.php
NOTES (13) -> http://www.gilbertssyndrome.com/symptoms.php
HERBS (13) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
LUPUS (13) -> https://mysecondspring.ie/menopause-symptoms/anxiety
PAULA (13) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
SPOKE (12) -> https://www.thesaurus.com/browse/reeling
GUIDE (12) -> https://www.health.com/vertigo/dizziness-causes
EPLEY (12) -> https://www.health.com/vertigo/dizziness-causes
THROW (12) -> https://www.health.com/condition/vertigo
ONSET (12) -> http://www.gilbertssyndrome.com/symptoms.php
CATCH (12) -> http://www.gilbertssyndrome.com/symptoms.php
EATEN (12) -> http://www.gilbertssyndrome.com/symptoms.php
STEVE (12) -> http://www.gilbertssyndrome.com/symptoms.php
STORE (12) -> http://www.gilbertssyndrome.com/symptoms.php
TOTAL (11) -> https://www.health.com/vertigo/dizziness-causes
SITES (11) -> https://www.health.com/vertigo/dizziness-causes
POWER (11) -> http://www.gilbertssyndrome.com/symptoms.php
SMELL (11) -> http://www.gilbertssyndrome.com/symptoms.php
AWAKE (11) -> http://www.gilbertssyndrome.com/symptoms.php
PHASE (11) -> http://www.gilbertssyndrome.com/symptoms.php
REACH (11) -> http://www.gilbertssyndrome.com/symptoms.php
VOMIT (11) -> http://www.gilbertssyndrome.com/symptoms.php
BUILD (11) -> http://www.gilbertssyndrome.com/symptoms.php
WAVES (11) -> http://www.gilbertssyndrome.com/symptoms.php
VOICE (11) -> http://www.gilbertssyndrome.com/symptoms.php
BROKE (11) -> http://www.gilbertssyndrome.com/symptoms.php
BONES (11) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
MONEY (11) -> https://patient.info/forums/discuss/should-i-be-worried--271578
AHEAD (11) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
FEARS (11) -> https://patient.info/forums/discuss/severe-persistent-shortness-of-breath-metallic-taste-after-breathing-exercises-523642
GIDDY (10) -> https://www.thesaurus.com/browse/reeling
TIPSY (10) -> https://www.thesaurus.com/browse/reeling
WOOZY (10) -> https://www.thesaurus.com/browse/reeling
SILLY (10) -> https://www.thesaurus.com/browse/reeling
BODYS (10) -> https://www.health.com/vertigo/dizziness-causes
ACUTE (10) -> https://www.health.com/vertigo/dizziness-causes
DROPS (10) -> https://www.health.com/vertigo/dizziness-causes
PSYCH (10) -> https://psychcentral.com/quizzes/anxiety-quiz/
CURES (10) -> http://www.gilbertssyndrome.com/symptoms.php
FORTH (10) -> http://www.gilbertssyndrome.com/symptoms.php
SMOKE (10) -> http://www.gilbertssyndrome.com/symptoms.php
GLASS (10) -> http://www.gilbertssyndrome.com/symptoms.php
BREAD (10) -> http://www.gilbertssyndrome.com/symptoms.php
HURTS (10) -> http://www.gilbertssyndrome.com/symptoms.php
SHOTS (10) -> http://www.gilbertssyndrome.com/symptoms.php
PAPER (10) -> http://www.gilbertssyndrome.com/symptoms.php
BOATS (10) -> http://www.gilbertssyndrome.com/symptoms.php
CHAIR (10) -> https://www.drugs.com/comments/meclizine/
LOCAL (10) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
TRIPS (10) -> https://patient.info/forums/discuss/should-i-be-worried--271578
ANGRY (10) -> https://patient.info/forums/discuss/should-i-be-worried--271578
RIDES (10) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
MEANT (10) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
TOUGH (10) -> https://mysecondspring.ie/menopause-symptoms/anxiety
OCCUR (9) -> https://www.health.com/vertigo/dizziness-causes
CELLS (9) -> https://www.health.com/vertigo/dizziness-causes
EXTRA (9) -> https://www.health.com/vertigo/dizziness-causes
TYPES (9) -> https://www.health.com/condition/vertigo
ROUND (9) -> https://www.health.com/condition/vertigo
PARTS (9) -> http://www.gilbertssyndrome.com/symptoms.php
SHAKE (9) -> http://www.gilbertssyndrome.com/symptoms.php
WOMAN (9) -> http://www.gilbertssyndrome.com/symptoms.php
BASIS (9) -> http://www.gilbertssyndrome.com/symptoms.php
BEERS (9) -> http://www.gilbertssyndrome.com/symptoms.php
COUGH (9) -> http://www.gilbertssyndrome.com/symptoms.php
COUCH (9) -> http://www.gilbertssyndrome.com/symptoms.php
TABLE (9) -> http://www.gilbertssyndrome.com/symptoms.php
SORTS (9) -> http://www.gilbertssyndrome.com/symptoms.php
HEADS (9) -> http://www.wordreference.com/es/en/translation.asp?spen=mareado
REHAB (9) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
EVENT (9) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
HOTEL (9) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
DOWNS (9) -> https://mysecondspring.ie/menopause-symptoms/anxiety
KNEES (8) -> https://www.thesaurus.com/browse/reeling
RISKS (8) -> https://www.health.com/vertigo/dizziness-causes
LEADS (8) -> https://www.health.com/vertigo/dizziness-causes
SSRIS (8) -> https://www.health.com/condition/vertigo
RELAX (8) -> https://psychcentral.com/quizzes/anxiety-quiz/
TOPIC (8) -> http://www.gilbertssyndrome.com/symptoms.php
SHOWS (8) -> http://www.gilbertssyndrome.com/symptoms.php
LYMPH (8) -> http://www.gilbertssyndrome.com/symptoms.php
URINE (8) -> http://www.gilbertssyndrome.com/symptoms.php
COLDS (8) -> http://www.gilbertssyndrome.com/symptoms.php
NASTY (8) -> http://www.gilbertssyndrome.com/symptoms.php
WHEAT (8) -> http://www.gilbertssyndrome.com/symptoms.php
LOADS (8) -> http://www.gilbertssyndrome.com/symptoms.php
CHILD (8) -> http://www.gilbertssyndrome.com/symptoms.php
PATCH (8) -> http://www.gilbertssyndrome.com/symptoms.php
SOLID (8) -> http://www.gilbertssyndrome.com/symptoms.php
WALKS (8) -> http://www.gilbertssyndrome.com/symptoms.php
STAGE (8) -> http://www.gilbertssyndrome.com/symptoms.php
TURNS (8) -> http://www.gilbertssyndrome.com/symptoms.php
CRASH (8) -> http://www.gilbertssyndrome.com/symptoms.php
VERBO (8) -> http://www.wordreference.com/es/en/translation.asp?spen=mareado
ERROR (8) -> http://www.wordreference.com/es/en/translation.asp?spen=mareado
SUPER (8) -> https://www.drugs.com/comments/citalopram/
SAVED (8) -> https://www.drugs.com/comments/citalopram/
KAREN (8) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
BADLY (8) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
RESET (8) -> https://patient.info/forums/discuss/should-i-be-worried--271578
SMILE (8) -> https://patient.info/forums/discuss/should-i-be-worried--271578
PATTY (8) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
DAVEK (8) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
EBOOK (8) -> https://mysecondspring.ie/menopause-symptoms/anxiety
HUBBY (8) -> https://mysecondspring.ie/menopause-symptoms/anxiety
ANKLE (8) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
BETSY (8) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
ROCKY (7) -> https://www.thesaurus.com/browse/reeling
FORMS (7) -> http://www.gilbertssyndrome.com/symptoms.php
ALLOW (7) -> http://www.gilbertssyndrome.com/symptoms.php
KINDA (7) -> http://www.gilbertssyndrome.com/symptoms.php
DAIRY (7) -> http://www.gilbertssyndrome.com/symptoms.php
AREAS (7) -> http://www.gilbertssyndrome.com/symptoms.php
FORCE (7) -> http://www.gilbertssyndrome.com/symptoms.php
RAPID (7) -> http://www.gilbertssyndrome.com/symptoms.php
NERVE (7) -> http://www.gilbertssyndrome.com/symptoms.php
CROSS (7) -> http://www.gilbertssyndrome.com/symptoms.php
QUIET (7) -> http://www.gilbertssyndrome.com/symptoms.php
SHIFT (7) -> http://www.gilbertssyndrome.com/symptoms.php
TIGHT (7) -> http://www.wordreference.com/es/en/translation.asp?spen=mareado
GONNA (7) -> https://www.drugs.com/comments/citalopram/
BEATS (7) -> https://www.drugs.com/comments/citalopram/
TOOLS (7) -> https://patient.info/forums/discuss/should-i-be-worried--271578
MINOR (7) -> https://patient.info/forums/discuss/should-i-be-worried--271578
ADDED (7) -> https://patient.info/forums/discuss/should-i-be-worried--271578
MOUNT (7) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
BANDS (7) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
SHALL (7) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
RACED (7) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
DAZED (6) -> https://www.thesaurus.com/browse/reeling
EMPTY (6) -> https://www.thesaurus.com/browse/reeling
STYLE (6) -> https://www.health.com/vertigo/dizziness-causes
PROVE (6) -> https://www.health.com/vertigo/dizziness-causes
SPELL (6) -> https://www.health.com/vertigo/dizziness-causes
MIXED (6) -> https://www.health.com/vertigo/dizziness-causes
AMONG (6) -> https://www.health.com/vertigo/dizziness-causes
LINKS (6) -> https://www.health.com/vertigo/dizziness-causes
ORGAN (6) -> https://www.health.com/condition/vertigo
ADULT (6) -> https://psychcentral.com/quizzes/anxiety-quiz/
BLOGS (6) -> https://psychcentral.com/quizzes/anxiety-quiz/
LIMIT (6) -> https://psychcentral.com/quizzes/anxiety-quiz/
VAGUE (6) -> http://www.gilbertssyndrome.com/symptoms.php
SWEAT (6) -> http://www.gilbertssyndrome.com/symptoms.php
ADMIT (6) -> http://www.gilbertssyndrome.com/symptoms.php
TEETH (6) -> http://www.gilbertssyndrome.com/symptoms.php
TRUCK (6) -> http://www.gilbertssyndrome.com/symptoms.php
BLAME (6) -> http://www.gilbertssyndrome.com/symptoms.php
REACT (6) -> http://www.gilbertssyndrome.com/symptoms.php
SIDES (6) -> http://www.gilbertssyndrome.com/symptoms.php
LAUGH (6) -> http://www.gilbertssyndrome.com/symptoms.php
XRAYS (6) -> http://www.gilbertssyndrome.com/symptoms.php
ANGER (6) -> http://www.gilbertssyndrome.com/symptoms.php
WROTE (6) -> http://www.gilbertssyndrome.com/symptoms.php
STEPH (6) -> http://www.gilbertssyndrome.com/symptoms.php
SWING (6) -> http://www.gilbertssyndrome.com/symptoms.php
EXACT (6) -> http://www.wordreference.com/es/en/translation.asp?spen=mareado
DANCE (6) -> http://www.wordreference.com/es/en/translation.asp?spen=mareado
CURED (6) -> https://www.drugs.com/comments/citalopram/
WALLS (6) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
JAMES (6) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
LINDA (6) -> https://www.homeremediespro.com/remedies/home-remedies-for-vertigo
ADAPT (6) -> https://patient.info/forums/discuss/should-i-be-worried--271578
FOLKS (6) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
CLEAN (6) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
DONNA (6) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
KELLY (6) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
FAITH (6) -> http://www.motion-sickness-guru.com/land-sickness-mal-de-debarquement-syndrome-mdds.html
GROWN (6) -> https://mysecondspring.ie/menopause-symptoms/anxiety
LOVED (6) -> https://mysecondspring.ie/menopause-symptoms/anxiety
GLOOM (6) -> https://mysecondspring.ie/menopause-symptoms/anxiety
DIEGO (6) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
HORSE (6) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
WATTS (6) -> https://bloodclotrecovery.net/what-recovery-from-a-pulmonary-embolism-looks-like/
POSES (5) -> https://www.health.com/vertigo/dizziness-causes
OBGYN (5) -> https://www.health.com/vertigo/dizziness-causes
LIMBS (5) -> https://www.health.com/vertigo/dizziness-causes
MUJER (5) -> https://www.health.com/vertigo/dizziness-causes
TUBES (5) -> https://www.health.com/condition/vertigo
TRIAL (5) -> https://psychcentral.com/quizzes/anxiety-quiz/
